,imagem,Hprojection,Hough,Fourier,Esperado,index_img
0,1002968870_8891.page_3..png,-69,-69.0,-72.0,69,0
1,514132976_514132982.page_0..png,-40,-40.0,-40.0,40,1
2,85635457_85635463.page_1..png,-67,23.0,21.0,-23,2
3,0060169506.page_1..png,-31,-31.0,-30.0,31,3
4,0001462717.page_0..png,-71,-70.0,22.0,71,4
5,2028977083.page_0..png,-60,30.0,29.0,-30,5
6,500451932.page_0..png,-90,-89.0,90.0,90,6
7,0000966856.page_0..png,-70,-69.0,-72.0,70,7
8,501621607_501621614.page_0..png,-9,81.0,83.0,-81,8
9,0000022529.page_0..png,-58,32.0,31.0,-32,9
10,503067043_503067045.page_1..png,-19,-19.0,-17.0,19,10
11,0011845782.page_2..png,-84,7.0,-81.0,-8,11
12,2064968671_8678.page_2..png,-48,41.0,41.0,-41,12
13,85635457_85635463.page_4..png,-38,51.0,-74.0,-51,13
14,2022950555.page_0..png,-38,51.0,53.0,-51,14
15,2064968671_8678.page_5..png,-19,70.0,73.0,-71,15
