,Hprojection,Hough,Fourier,Esperado,index_img,Mediana
0,21.0,20.0,23.0,23.0,0,21.0
1,19.0,19.0,17.0,19.0,1,19.0
2,3.0,4.0,3.0,3.0,2,3.0
3,15.0,15.0,14.0,15.0,3,15.0
4,33.0,33.0,32.0,33.0,4,33.0
5,39.0,39.0,40.0,39.0,5,39.0
6,22.0,22.0,25.0,112.0,6,22.0
7,16.0,16.0,14.0,16.0,7,16.0
8,14.0,14.0,16.0,14.0,8,14.0
9,39.0,38.0,40.0,39.0,9,39.0
10,10.0,9.0,12.0,10.0,10,10.0
11,25.0,25.0,23.0,25.0,11,25.0
12,34.0,34.0,33.0,34.0,12,34.0
13,62.0,62.0,60.0,62.0,13,62.0
14,10.0,79.0,9.0,100.0,14,10.0
15,8.0,8.0,7.0,8.0,15,8.0
16,46.0,44.0,46.0,136.0,16,46.0
